""""," 訴訟事件(略式･交通即決事件を除く)_新受人員(人)"," 訴訟事件(略式･交通即決事件を除く)_既済人員(人)"," 訴訟事件(略式･交通即決事件を除く)_未済人員(人)","略式事件_新受人員(人)","略式事件_既済人員(人)","略式事件_未済人員(人)","その他の事件_新受人員(人)","その他の事件_既済人員(人)","その他の事件_未済人員(人)","道路交通法及び自動車の保管場所   　 の確保等に関する法律違反事件_新受人員(人)","道路交通法及び自動車の保管場所   　 の確保等に関する法律違反事件_既済人員(人)","道路交通法及び自動車の保管場所   　 の確保等に関する法律違反事件_未済人員(人)"
"平成19年(2007年)","1111.0","1134.0","386.0","5851.0","5844.0","77.0","5781.0","5779.0","9.0","4561.0","4561.0","22.0"
"平成20年(2008年)","1170.0","1170.0","386.0","4126.0","4053.0","150.0","6283.0","6282.0","10.0","2828.0","2805.0","45.0"
"平成21年(2009年)","1242.0","1239.0","389.0","4397.0","4440.0","107.0","5685.0","5685.0","10.0","2062.0","2064.0","43.0"
"平成22年(2010年)","1341.0","1395.0","335.0","4341.0","4306.0","142.0","6268.0","6275.0","3.0","2952.0","2981.0","20.0"
"","","","","","","","","","","","",""
"平成23年(2011年)","1157.0","1189.0","303.0","3753.0","3828.0","67.0","6797.0","6784.0","21.0","2480.0","2485.0","21.0"
"平成24年(2012年)","918.0","1038.0","183.0","3374.0","3346.0","95.0","6090.0","6103.0","8.0","2181.0","2161.0","41.0"
"平成25年(2013年)","836.0","806.0","213.0","3446.0","3383.0","158.0","5677.0","5676.0","9.0","2306.0","2268.0","79.0"
"平成26年(2014年)","867.0","890.0","190.0","2881.0","2928.0","111.0","5740.0","5738.0","11.0","1847.0","1880.0","46.0"
"","","","","","","","","","","","",""
"　地方裁判所","845.0","871.0","182.0","0.0","0.0","0.0","1889.0","1887.0","11.0","0.0","0.0","0.0"
"     本庁","717.0","724.0","165.0","0.0","0.0","0.0","1833.0","1830.0","11.0","0.0","0.0","0.0"
"     田辺支部","83.0","95.0","14.0","0.0","0.0","0.0","47.0","48.0","0.0","0.0","0.0","0.0"
"　　 御坊支部","13.0","14.0","3.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0"
"　　 新宮支部","32.0","38.0","0.0","0.0","0.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","","","",""
"　簡易裁判所","22.0","19.0","8.0","2881.0","2928.0","111.0","3851.0","3851.0","0.0","1847.0","1880.0","46.0"
"     和歌山簡易裁判所","21.0","18.0","7.0","1735.0","1770.0","52.0","2927.0","2927.0","0.0","1094.0","1107.0","24.0"
"     湯浅簡易裁判所","0.0","0.0","0.0","187.0","183.0","10.0","41.0","41.0","0.0","130.0","124.0","7.0"
"     妙寺簡易裁判所","0.0","0.0","0.0","145.0","153.0","6.0","57.0","57.0","0.0","107.0","118.0","0.0"
"     橋本簡易裁判所","1.0","0.0","1.0","143.0","147.0","5.0","42.0","42.0","0.0","97.0","98.0","2.0"
"     田辺簡易裁判所","0.0","0.0","0.0","349.0","355.0","10.0","445.0","445.0","0.0","219.0","228.0","0.0"
"     串本簡易裁判所","0.0","0.0","0.0","36.0","36.0","4.0","11.0","11.0","0.0","14.0","16.0","0.0"
"     御坊簡易裁判所","0.0","0.0","0.0","159.0","165.0","16.0","118.0","118.0","0.0","106.0","113.0","9.0"
"     新宮簡易裁判所","0.0","1.0","0.0","127.0","119.0","8.0","210.0","210.0","0.0","80.0","76.0","4.0"
